Log created on 11-5-2018__16.31.25
2

Time	MAT	CHT	MAP	AFR	TPS	RPM	CCM	Cons	State
11976.0	22.48	27.99	1.13	17.09	9.0	0.0	3400.0	0.0	0.0
12040.0	22.55	28.06	1.13	17.17	9.0	0.0	3300.0	0.0	0.0
12104.0	22.63	28.03	1.13	17.07	9.0	0.0	3300.0	0.0	0.0
12169.0	22.53	27.96	1.13	17.1	9.0	0.0	3400.0	0.0	0.0
12237.0	22.49	28.03	1.13	16.98	9.0	0.0	3300.0	0.0	0.0
12302.0	22.56	28.08	1.13	16.95	9.0	0.0	3300.0	0.0	0.0
12356.0	22.58	27.99	1.13	17.45	9.0	0.0	3400.0	0.0	0.0
12410.0	22.59	27.98	1.13	17.68	9.0	0.0	3400.0	0.0	0.0
12469.0	22.54	27.99	1.13	17.75	9.0	0.0	3400.0	0.0	0.0
12528.0	22.53	28.05	1.13	17.78	9.0	0.0	3300.0	0.0	0.0
12582.0	22.62	28.15	1.13	17.46	9.0	0.0	3300.0	0.0	0.0
12647.0	22.59	28.05	1.13	17.23	9.0	0.0	3300.0	0.0	0.0
12701.0	22.56	28.01	1.13	17.02	9.0	0.0	3300.0	0.0	0.0
12760.0	22.57	28.03	1.13	16.96	9.0	0.0	3300.0	0.0	0.0
12819.0	22.63	28.06	1.13	17.17	9.0	0.0	3300.0	0.0	0.0
12878.0	22.64	28.05	1.13	17.36	9.0	0.0	3300.0	0.0	0.0
12938.0	22.28	27.91	1.14	17.56	9.0	0.0	3400.0	0.0	0.0
12992.0	22.21	27.89	1.14	17.56	9.0	0.0	3400.0	0.0	0.0
13056.0	22.49	28.12	1.13	17.75	9.0	0.0	3300.0	0.0	0.0
13110.0	22.56	28.05	1.13	17.62	9.0	0.0	3300.0	0.0	0.0
13169.0	22.6	27.96	1.13	17.53	9.0	0.0	3400.0	0.0	0.0
13223.0	22.52	27.89	1.13	17.47	9.0	0.0	3400.0	0.0	0.0
13278.0	22.11	27.52	1.14	17.51	9.0	0.0	3400.0	0.0	0.0
13341.0	22.19	27.71	1.13	17.6	9.0	0.0	3400.0	0.0	0.0
13401.0	22.44	28.02	1.12	17.66	9.0	0.0	3300.0	0.0	0.0
13455.0	22.49	27.98	1.13	17.45	9.0	0.0	3400.0	0.0	0.0
13514.0	22.55	27.99	1.13	17.36	9.0	0.0	3400.0	0.0	0.0
13574.0	22.64	28.04	1.13	17.19	9.0	0.0	3300.0	0.0	0.0
13633.0	22.68	28.01	1.13	17.09	9.0	0.0	3300.0	0.0	0.0
13691.0	22.59	27.98	1.13	16.95	9.0	0.0	3400.0	0.0	0.0
13746.0	22.6	28.05	1.13	16.85	9.0	0.0	3300.0	0.0	0.0
13810.0	22.69	28.04	1.13	16.85	9.0	0.0	3300.0	0.0	0.0
13864.0	22.77	28.04	1.13	16.78	9.0	0.0	3300.0	0.0	0.0
13924.0	22.66	28.01	1.13	16.76	9.0	0.0	3300.0	0.0	0.0
13978.0	22.59	27.99	1.13	16.76	9.0	0.0	3400.0	0.0	0.0
14036.0	22.67	28.09	1.13	16.78	9.0	0.0	3300.0	0.0	0.0
14101.0	22.69	28.02	1.13	17.01	9.0	0.0	3300.0	0.0	0.0
14155.0	22.68	27.98	1.13	17.05	9.0	0.0	3400.0	0.0	0.0
14210.0	22.7	27.93	1.13	17.03	9.0	0.0	3400.0	0.0	0.0
14269.0	22.67	27.95	1.13	17.02	9.0	0.0	3400.0	0.0	0.0
14323.0	22.59	27.95	1.13	17.37	9.0	0.0	3400.0	0.0	0.0
14387.0	22.68	27.93	1.13	17.48	9.0	0.0	3400.0	0.0	0.0
14441.0	22.63	27.91	1.13	17.43	9.0	0.0	3400.0	0.0	0.0
14505.0	22.64	27.95	1.13	17.38	9.0	0.0	3400.0	0.0	0.0
14560.0	22.76	27.97	1.13	16.77	9.0	0.0	3400.0	0.0	0.0
14623.0	22.77	28.03	1.13	16.25	9.0	0.0	3300.0	0.0	0.0
14683.0	22.61	27.96	1.13	16.05	9.0	0.0	3400.0	0.0	0.0
14747.0	22.61	28.06	1.13	15.91	9.0	0.0	3300.0	0.0	0.0
14801.0	22.64	28.05	1.13	16.26	9.0	0.0	3300.0	0.0	0.0
14856.0	22.68	28.01	1.13	16.44	9.0	0.0	3300.0	0.0	0.0
14914.0	22.65	27.95	1.13	16.58	9.0	0.0	3400.0	0.0	0.0
14968.0	22.58	27.94	1.13	16.67	9.0	0.0	3400.0	0.0	0.0
15028.0	22.65	28.07	1.13	16.71	9.0	0.0	3300.0	0.0	0.0
15087.0	22.64	28.08	1.13	16.87	9.0	0.0	3300.0	0.0	0.0
15141.0	22.62	28.03	1.13	16.96	9.0	0.0	3300.0	0.0	0.0
15196.0	22.58	28.0	1.13	16.97	9.0	0.0	3300.0	0.0	0.0
15254.0	22.56	28.01	1.13	16.95	9.0	0.0	3300.0	0.0	0.0
15308.0	22.58	28.05	1.13	16.83	9.0	0.0	3300.0	0.0	0.0
15368.0	22.54	28.01	1.13	16.88	9.0	0.0	3300.0	0.0	0.0
15427.0	22.37	27.97	1.13	16.91	9.0	0.0	3400.0	0.0	0.0
15486.0	22.54	28.27	1.12	16.87	9.0	0.0	3300.0	0.0	0.0
15546.0	22.64	28.14	1.13	16.87	9.0	0.0	3300.0	0.0	0.0
15600.0	22.64	27.99	1.13	16.98	9.0	0.0	3400.0	0.0	0.0
15659.0	22.55	27.91	1.13	16.93	9.0	0.0	3400.0	0.0	0.0
15718.0	21.99	27.73	1.14	17.14	9.0	0.0	3400.0	0.0	0.0
15772.0	22.05	27.87	1.14	17.5	9.0	0.0	3400.0	0.0	0.0
15837.0	22.5	28.2	1.12	17.99	9.0	0.0	3300.0	0.0	0.0
15891.0	22.56	28.06	1.13	17.98	9.0	0.0	3300.0	0.0	0.0
15949.0	22.57	27.98	1.13	17.89	9.0	0.0	3400.0	0.0	0.0
16009.0	22.58	27.97	1.13	17.75	9.0	0.0	3400.0	0.0	0.0
16073.0	22.63	27.61	1.14	17.6	9.0	0.0	3400.0	0.0	0.0
16132.0	22.48	27.73	1.13	17.68	9.0	0.0	3400.0	0.0	0.0
16182.0	22.54	27.93	1.13	17.6	9.0	0.0	3400.0	0.0	0.0
16240.0	22.59	27.99	1.13	17.45	9.0	0.0	3400.0	0.0	0.0
16300.0	22.7	27.99	1.13	17.39	9.0	0.0	3400.0	0.0	0.0
16359.0	22.74	28.02	1.13	17.35	9.0	0.0	3300.0	0.0	0.0
16418.0	22.71	27.97	1.13	17.44	9.0	0.0	3400.0	0.0	0.0
16477.0	22.75	28.02	1.13	17.34	9.0	0.0	3300.0	0.0	0.0
16541.0	22.74	28.03	1.13	17.13	9.0	0.0	3300.0	0.0	0.0
16595.0	22.8	28.05	1.13	16.93	9.0	0.0	3300.0	0.0	0.0
16650.0	22.79	28.02	1.13	16.86	9.0	0.0	3300.0	0.0	0.0
16709.0	22.72	27.98	1.13	16.74	9.0	0.0	3400.0	0.0	0.0
16769.0	22.74	28.1	1.13	16.84	9.0	0.0	3300.0	0.0	0.0
16832.0	22.66	28.07	1.13	16.82	9.0	0.0	3300.0	0.0	0.0
16886.0	22.67	28.03	1.13	16.75	9.0	0.0	3300.0	0.0	0.0
16946.0	22.63	27.96	1.13	16.74	9.0	0.0	3400.0	0.0	0.0
17000.0	22.58	27.99	1.13	17.04	9.0	0.0	3400.0	0.0	0.0
17063.0	22.73	28.09	1.13	17.22	9.0	0.0	3300.0	0.0	0.0
17118.0	22.73	28.0	1.13	17.28	9.0	0.0	3300.0	0.0	0.0
17167.0	22.64	28.02	1.13	17.31	9.0	0.0	3300.0	0.0	0.0
17226.0	22.61	28.1	1.13	17.21	9.0	0.0	3300.0	0.0	0.0
17291.0	22.64	28.02	1.13	17.09	9.0	0.0	3300.0	0.0	0.0
17345.0	22.7	28.08	1.13	17.03	9.0	0.0	3300.0	0.0	0.0
17404.0	22.62	27.99	1.13	17.0	9.0	0.0	3400.0	0.0	0.0
17459.0	22.53	27.95	1.13	16.92	9.0	0.0	3400.0	0.0	0.0
17517.0	22.64	28.07	1.13	16.74	9.0	0.0	3300.0	0.0	0.0
17571.0	22.66	28.09	1.13	16.76	9.0	0.0	3300.0	0.0	0.0
17631.0	22.65	27.97	1.13	16.68	9.0	0.0	3400.0	0.0	0.0
17690.0	22.63	27.95	1.13	16.65	9.0	0.0	3400.0	0.0	0.0
17744.0	22.54	27.94	1.13	16.71	9.0	0.0	3400.0	0.0	0.0
17804.0	22.26	27.59	1.14	16.8	9.0	0.0	3400.0	0.0	0.0
17858.0	22.26	27.77	1.13	17.11	9.0	0.0	3400.0	0.0	0.0
17916.0	22.41	28.07	1.12	16.96	9.0	0.0	3300.0	0.0	0.0
17971.0	22.45	28.02	1.13	16.88	9.0	0.0	3300.0	0.0	0.0
18030.0	22.6	27.99	1.13	16.82	9.0	0.0	3400.0	0.0	0.0
18084.0	22.63	27.98	1.13	16.84	9.0	0.0	3400.0	0.0	0.0
18144.0	22.07	27.75	1.13	16.93	9.0	0.0	3400.0	0.0	0.0
18207.0	22.06	27.77	1.13	17.19	9.0	0.0	3400.0	0.0	0.0
18267.0	22.35	27.96	1.13	17.08	9.0	0.0	3400.0	0.0	0.0
18326.0	22.48	27.99	1.13	17.06	9.0	0.0	3400.0	0.0	0.0
18380.0	22.57	27.93	1.13	17.01	9.0	0.0	3400.0	0.0	0.0
18440.0	22.53	27.97	1.13	16.97	9.0	0.0	3400.0	0.0	0.0
18498.0	22.53	28.0	1.13	16.84	9.0	0.0	3300.0	0.0	0.0
18557.0	22.63	28.08	1.13	16.8	9.0	0.0	3300.0	0.0	0.0
18617.0	22.66	28.01	1.13	16.68	9.0	0.0	3300.0	0.0	0.0
18671.0	22.56	27.92	1.13	16.64	9.0	0.0	3400.0	0.0	0.0
18735.0	22.51	27.93	1.13	16.77	9.0	0.0	3400.0	0.0	0.0
18789.0	22.59	27.96	1.13	16.83	9.0	0.0	3400.0	0.0	0.0
18848.0	22.68	28.05	1.13	16.91	9.0	0.0	3300.0	0.0	0.0
18908.0	22.58	27.97	1.13	16.91	9.0	0.0	3400.0	0.0	0.0
18962.0	22.51	27.99	1.13	16.76	9.0	0.0	3400.0	0.0	0.0
19026.0	22.58	28.01	1.13	16.74	9.0	0.0	3300.0	0.0	0.0
19081.0	22.58	28.01	1.13	16.68	9.0	0.0	3300.0	0.0	0.0
19139.0	22.59	28.02	1.13	16.61	9.0	0.0	3300.0	0.0	0.0
19198.0	22.53	27.95	1.13	16.72	9.0	0.0	3400.0	0.0	0.0
19258.0	22.59	28.08	1.13	16.82	9.0	0.0	3300.0	0.0	0.0
19312.0	22.66	28.1	1.13	16.98	9.0	0.0	3300.0	0.0	0.0
19372.0	22.64	27.98	1.13	17.03	9.0	0.0	3400.0	0.0	0.0
19426.0	22.64	27.99	1.13	16.91	9.0	0.0	3400.0	0.0	0.0
19484.0	22.54	28.0	1.13	16.63	9.0	0.0	3400.0	0.0	0.0
19538.0	22.59	28.01	1.13	16.52	9.0	0.0	3300.0	0.0	0.0
19593.0	22.65	28.06	1.13	16.46	9.0	0.0	3300.0	0.0	0.0
19652.0	22.58	28.0	1.13	16.45	9.0	0.0	3300.0	0.0	0.0
19706.0	22.55	27.96	1.13	16.56	9.0	0.0	3400.0	0.0	0.0
19761.0	22.58	28.0	1.13	16.7	9.0	0.0	3400.0	0.0	0.0
19820.0	22.62	28.06	1.13	16.81	9.0	0.0	3300.0	0.0	0.0
19878.0	22.55	27.98	1.13	16.95	9.0	0.0	3400.0	0.0	0.0
19938.0	22.53	27.96	1.13	16.88	9.0	0.0	3400.0	0.0	0.0
19997.0	22.51	28.01	1.13	16.86	9.0	0.0	3300.0	0.0	0.0
20051.0	22.61	28.03	1.13	16.87	9.0	0.0	3300.0	0.0	0.0
20116.0	22.71	27.95	1.13	16.95	9.0	0.0	3400.0	0.0	0.0
20165.0	22.64	27.91	1.13	16.95	9.0	0.0	3400.0	0.0	0.0
20229.0	22.17	27.79	1.15	17.01	9.0	0.0	3400.0	0.0	0.0
20288.0	22.04	27.85	1.14	17.38	9.0	0.0	3400.0	0.0	0.0
20342.0	22.5	28.22	1.13	17.44	9.0	0.0	3300.0	0.0	0.0
20407.0	22.58	28.05	1.13	17.27	9.0	0.0	3300.0	0.0	0.0
20461.0	22.55	27.96	1.13	17.13	9.0	0.0	3400.0	0.0	0.0
20519.0	22.6	27.99	1.13	17.03	9.0	0.0	3400.0	0.0	0.0
20579.0	22.31	27.38	1.14	17.22	9.0	0.0	3400.0	0.0	0.0
20633.0	22.3	27.62	1.13	17.19	9.0	0.0	3400.0	0.0	0.0
20698.0	22.46	27.9	1.12	17.1	9.0	0.0	3400.0	0.0	0.0
20752.0	22.57	27.98	1.13	16.72	9.0	0.0	3400.0	0.0	0.0
20810.0	22.61	28.01	1.13	16.6	9.0	0.0	3300.0	0.0	0.0
20870.0	22.57	27.93	1.13	16.61	9.0	0.0	3400.0	0.0	0.0
20929.0	22.55	27.98	1.13	16.58	9.0	0.0	3400.0	0.0	0.0
20988.0	22.51	28.02	1.13	16.65	9.0	0.0	3300.0	0.0	0.0
21038.0	22.57	28.04	1.13	16.59	9.0	0.0	3300.0	0.0	0.0
21097.0	22.69	28.02	1.13	16.61	9.0	0.0	3300.0	0.0	0.0
21155.0	22.61	27.94	1.13	16.68	9.0	0.0	3400.0	0.0	0.0
21210.0	22.57	28.0	1.13	16.69	9.0	0.0	3400.0	0.0	0.0
21269.0	22.61	28.06	1.13	16.65	9.0	0.0	3300.0	0.0	0.0
21328.0	22.66	28.06	1.13	16.74	9.0	0.0	3300.0	0.0	0.0
21388.0	22.61	28.04	1.13	16.81	9.0	0.0	3300.0	0.0	0.0
21446.0	22.62	27.95	1.13	16.75	9.0	0.0	3400.0	0.0	0.0
21506.0	22.63	28.02	1.13	16.7	9.0	0.0	3300.0	0.0	0.0
21560.0	22.69	28.01	1.13	16.76	9.0	0.0	3300.0	0.0	0.0
21619.0	22.65	27.95	1.13	16.7	9.0	0.0	3400.0	0.0	0.0
21679.0	22.65	27.96	1.13	16.84	9.0	0.0	3400.0	0.0	0.0
21742.0	22.58	28.0	1.13	16.96	9.0	0.0	3300.0	0.0	0.0
21807.0	22.63	28.03	1.13	17.07	9.0	0.0	3300.0	0.0	0.0
21861.0	22.66	27.94	1.13	17.06	9.0	0.0	3400.0	0.0	0.0
21915.0	22.64	27.97	1.13	16.63	9.0	0.0	3400.0	0.0	0.0
21975.0	22.61	27.97	1.13	16.35	9.0	0.0	3400.0	0.0	0.0
22033.0	22.73	28.03	1.13	16.18	9.0	0.0	3300.0	0.0	0.0
22092.0	22.78	28.03	1.13	16.04	9.0	0.0	3300.0	0.0	0.0
22147.0	22.69	27.97	1.13	16.18	9.0	0.0	3400.0	0.0	0.0
22211.0	22.66	28.0	1.13	16.34	9.0	0.0	3400.0	0.0	0.0
22269.0	22.69	28.02	1.13	16.43	9.0	0.0	3300.0	0.0	0.0
22320.0	22.72	28.04	1.13	16.49	9.0	0.0	3300.0	0.0	0.0
22378.0	22.75	28.0	1.13	16.7	9.0	0.0	3400.0	0.0	0.0
22437.0	22.67	27.93	1.13	17.06	9.0	0.0	3400.0	0.0	0.0
22492.0	22.65	27.95	1.13	17.13	9.0	0.0	3400.0	0.0	0.0
22551.0	22.71	27.96	1.13	17.23	9.0	0.0	3400.0	0.0	0.0
22610.0	22.74	27.91	1.13	17.29	9.0	0.0	3400.0	0.0	0.0
22669.0	21.97	27.67	1.13	17.15	9.0	0.0	3400.0	0.0	0.0
22728.0	21.95	27.76	1.13	17.39	9.0	0.0	3400.0	0.0	0.0
22788.0	22.5	28.21	1.12	17.38	9.0	0.0	3300.0	0.0	0.0
22847.0	22.63	28.03	1.12	17.21	9.0	0.0	3300.0	0.0	0.0
22901.0	22.62	27.95	1.13	17.1	9.0	0.0	3400.0	0.0	0.0
22965.0	22.56	27.91	1.13	16.83	9.0	0.0	3400.0	0.0	0.0
23019.0	22.37	27.87	1.14	16.98	9.0	0.0	3400.0	0.0	0.0
23078.0	22.51	28.04	1.13	17.15	9.0	0.0	3300.0	0.0	0.0
23138.0	22.58	27.97	1.13	17.13	9.0	0.0	3400.0	0.0	0.0
23192.0	22.57	27.93	1.13	17.04	9.0	0.0	3400.0	0.0	0.0
23246.0	22.65	27.99	1.13	17.0	9.0	0.0	3400.0	0.0	0.0
23305.0	22.7	28.02	1.13	17.08	9.0	0.0	3300.0	0.0	0.0
23359.0	22.77	28.0	1.13	17.06	9.0	0.0	3400.0	0.0	0.0
23418.0	22.78	27.95	1.13	16.9	9.0	0.0	3400.0	0.0	0.0
23478.0	22.77	27.98	1.13	16.86	9.0	0.0	3400.0	0.0	0.0
23532.0	22.83	28.02	1.13	16.82	9.0	0.0	3300.0	0.0	0.0
23591.0	22.83	27.99	1.13	16.89	9.0	0.0	3400.0	0.0	0.0
23646.0	22.71	27.95	1.13	16.68	9.0	0.0	3400.0	0.0	0.0
23709.0	22.75	28.0	1.13	16.56	9.0	0.0	3300.0	0.0	0.0
23769.0	22.77	27.95	1.13	16.54	9.0	0.0	3400.0	0.0	0.0
23823.0	22.82	28.04	1.13	16.51	9.0	0.0	3300.0	0.0	0.0
23882.0	22.81	27.92	1.13	16.63	9.0	0.0	3400.0	0.0	0.0
23942.0	22.7	27.91	1.13	16.82	9.0	0.0	3400.0	0.0	0.0
23996.0	22.78	28.01	1.13	16.88	9.0	0.0	3300.0	0.0	0.0
24059.0	22.78	28.02	1.13	17.04	9.0	0.0	3300.0	0.0	0.0
24114.0	22.76	28.02	1.13	17.12	9.0	0.0	3300.0	0.0	0.0
24178.0	22.71	27.95	1.13	17.31	9.0	0.0	3400.0	0.0	0.0
24227.0	22.72	27.96	1.13	17.33	9.0	0.0	3400.0	0.0	0.0
24291.0	22.81	28.02	1.13	17.32	9.0	0.0	3300.0	0.0	0.0
24350.0	22.8	27.95	1.13	17.19	9.0	0.0	3400.0	0.0	0.0
24404.0	22.81	27.96	1.13	16.87	9.0	0.0	3400.0	0.0	0.0
24464.0	22.76	27.96	1.13	16.86	9.0	0.0	3400.0	0.0	0.0
24518.0	22.79	28.03	1.13	16.78	9.0	0.0	3300.0	0.0	0.0
24578.0	22.87	28.05	1.13	16.75	9.0	0.0	3300.0	0.0	0.0
24636.0	22.8	27.96	1.13	17.22	9.0	0.0	3400.0	0.0	0.0
24686.0	22.8	27.95	1.13	17.39	9.0	0.0	3400.0	0.0	0.0
24744.0	22.79	28.03	1.13	17.51	9.0	0.0	3300.0	0.0	0.0
24809.0	22.8	28.02	1.13	17.67	9.0	0.0	3300.0	0.0	0.0
24863.0	22.84	27.98	1.13	17.31	9.0	0.0	3400.0	0.0	0.0
24923.0	22.8	27.96	1.13	16.95	9.0	0.0	3400.0	0.0	0.0
24977.0	22.79	27.93	1.13	16.91	9.0	0.0	3400.0	0.0	0.0
25031.0	22.85	27.97	1.13	16.81	9.0	0.0	3400.0	0.0	0.0
25095.0	22.68	27.32	1.14	16.97	9.0	0.0	3400.0	0.0	0.0
25149.0	22.33	27.51	1.13	17.41	9.0	0.0	3400.0	0.0	0.0
25210.0	22.58	28.03	1.13	17.54	9.0	0.0	3300.0	0.0	0.0
25264.0	22.57	28.22	1.13	17.58	9.0	0.0	3300.0	0.0	0.0
25320.0	22.7	28.39	1.13	17.67	9.0	1658.56	3300.0	0.0	2.0
25384.0	22.64	28.43	1.15	17.82	9.0	1538.46	3300.0	0.0	2.0
25445.0	22.92	28.55	1.15	18.31	9.0	1338.69	3300.0	0.0	2.0
25501.0	22.93	28.52	1.14	19.09	9.0	1183.99	3300.0	0.0	2.0
25556.0	23.03	28.56	1.14	19.51	9.0	1373.63	3300.0	0.0	2.0
25621.0	23.08	28.65	1.14	19.76	9.0	1441.75	3300.0	0.0	2.0
25677.0	22.88	28.57	1.14	19.87	9.0	1269.9	3300.0	0.0	2.0
25734.0	22.86	28.57	1.14	19.93	9.0	1083.74	3300.0	0.0	2.0
25789.0	22.8	28.57	1.14	19.96	9.0	1542.26	3300.0	0.0	2.0
25847.0	22.97	28.66	1.14	19.98	9.0	1544.0	3300.0	0.0	2.0
25903.0	22.99	28.73	1.13	19.99	9.0	1516.68	3300.0	0.0	2.0
25963.0	22.84	28.61	1.13	19.99	9.0	1414.96	3300.0	0.0	2.0
26023.0	23.12	28.81	1.13	20.0	9.0	1256.07	3300.0	0.0	2.0
26087.0	23.04	28.72	1.15	20.0	9.0	1662.05	3300.0	0.0	2.0
26137.0	23.12	28.7	1.14	20.0	9.0	1543.05	3300.0	0.0	2.0
26193.0	23.14	28.67	1.14	20.0	9.0	1385.94	3300.0	0.0	2.0
26258.0	22.92	28.64	1.13	20.0	9.0	1707.46	3300.0	0.0	2.0
26320.0	22.83	28.58	1.14	20.0	9.0	1642.76	3300.0	51.48	1.0
26377.0	22.79	28.6	1.14	20.0	9.0	1716.25	3300.0	53.44	1.0
26435.0	22.84	28.65	1.14	20.0	9.0	1798.13	3300.0	53.45	1.0
26494.0	22.94	28.66	1.14	20.0	9.0	1784.02	3300.0	53.45	1.0
26553.0	22.84	28.29	1.14	20.0	9.0	1667.96	3300.0	53.45	1.0
26609.0	22.95	28.45	1.14	20.0	9.0	1876.17	3300.0	51.49	1.0
26668.0	22.92	28.55	1.14	20.0	9.0	1667.04	3300.0	51.49	1.0
26724.0	22.96	28.62	1.14	20.0	9.0	1539.25	3300.0	53.46	1.0
26783.0	22.97	28.67	1.14	20.0	9.0	1914.49	3300.0	53.46	1.0
26838.0	22.98	28.62	1.14	20.0	9.0	1709.4	3300.0	53.46	1.0
26894.0	22.98	28.63	1.14	20.0	9.0	1596.25	3300.0	51.5	1.0
26957.0	22.96	28.63	1.14	20.0	9.0	1978.37	3300.0	51.5	1.0
27016.0	22.89	28.6	1.14	20.0	9.0	1758.71	3300.0	51.5	1.0
27075.0	23.05	28.63	1.14	20.0	9.0	1779.57	3300.0	51.5	1.0
27133.0	22.89	28.62	1.14	20.0	9.0	1945.27	3300.0	51.5	1.0
27190.0	22.99	28.64	1.14	19.99	9.0	1801.37	3300.0	53.39	1.0
27248.0	23.02	28.71	1.14	20.0	9.0	1849.11	3300.0	53.44	1.0
27308.0	23.0	28.67	1.14	19.77	9.0	1662.42	3300.0	52.85	1.0
27364.0	23.03	28.64	1.14	19.36	9.0	1534.37	3300.0	50.07	1.0
27422.0	23.01	28.66	1.14	19.16	9.0	1772.63	3300.0	46.1	1.0
27482.0	22.92	28.59	1.14	19.19	9.0	1675.79	3300.0	45.14	1.0
27538.0	23.0	28.64	1.14	19.32	9.0	1845.47	3300.0	48.02	1.0
27601.0	22.94	28.65	1.14	19.6	9.0	1902.83	3300.0	47.57	1.0
27661.0	23.01	28.67	1.14	19.74	9.0	1686.72	3300.0	49.21	1.0
27715.0	23.01	28.68	1.14	19.63	9.0	2082.18	3300.0	48.9	1.0
27773.0	22.58	28.49	1.14	19.66	9.0	1873.59	3300.0	49.28	1.0
27837.0	22.65	28.44	1.14	19.79	9.0	1976.02	3300.0	49.91	1.0
27888.0	22.66	28.46	1.14	19.87	9.0	1875.7	3300.0	52.12	1.0
27948.0	22.71	28.44	1.14	19.86	9.0	1600.17	3300.0	50.59	1.0
28006.0	22.79	28.5	1.14	19.91	9.0	2022.93	3300.0	50.8	1.0
28065.0	22.91	28.58	1.14	19.62	9.0	1814.0	3300.0	51.23	1.0
28129.0	22.78	28.51	1.14	19.32	9.0	1794.69	3300.0	48.42	1.0
28188.0	22.93	28.6	1.14	19.21	9.0	1985.44	3300.0	47.81	1.0
28243.0	23.01	28.74	1.13	19.15	9.0	1845.02	3300.0	45.41	1.0
28303.0	22.96	28.65	1.14	18.76	9.0	1701.07	3300.0	45.4	1.0
28362.0	22.86	28.64	1.14	18.66	9.0	1765.54	3300.0	41.19	1.0
28422.0	22.81	28.53	1.14	18.35	9.0	1871.72	3300.0	40.85	1.0
28477.0	22.76	28.51	1.14	18.34	9.0	1782.11	3300.0	40.48	1.0
28540.0	22.49	28.34	1.14	18.09	9.0	1702.22	3300.0	39.86	1.0
28595.0	22.65	28.36	1.14	17.76	9.0	1830.61	3300.0	35.31	1.0
28651.0	22.76	28.47	1.13	17.58	9.0	1689.0	3300.0	34.36	1.0
28710.0	22.76	28.52	1.14	17.46	9.0	1748.86	3300.0	30.06	1.0
28774.0	22.91	28.59	1.14	17.09	9.0	1666.85	3300.0	29.51	1.0
28829.0	22.88	28.6	1.14	17.34	9.0	1748.46	3300.0	27.64	1.0
28889.0	22.93	28.57	1.14	17.48	9.0	1733.5	3300.0	30.38	1.0
28948.0	22.88	28.54	1.14	17.48	9.0	1704.74	3300.0	30.37	1.0
29008.0	22.89	28.54	1.13	17.56	9.0	1559.74	3300.0	33.16	1.0
29064.0	22.86	28.56	1.13	17.68	9.0	1725.53	3300.0	34.69	1.0
29124.0	22.88	28.61	1.14	17.66	9.0	1720.58	3300.0	32.57	1.0
29179.0	22.91	28.64	1.14	17.91	9.0	1692.81	3300.0	35.69	1.0
29243.0	22.76	28.52	1.14	18.08	9.0	1778.52	3300.0	35.99	1.0
29302.0	22.76	28.55	1.13	17.77	9.0	1868.69	3300.0	36.64	1.0
29361.0	22.56	28.04	1.14	17.36	9.0	1857.13	3300.0	31.76	1.0
29412.0	22.57	28.21	1.14	17.08	9.0	2037.49	3300.0	30.66	1.0
29471.0	22.76	28.35	1.14	16.83	9.0	1814.66	3300.0	25.02	1.0
29526.0	22.79	28.45	1.14	16.76	9.0	1768.24	3300.0	25.46	1.0
29585.0	22.76	28.58	1.15	16.74	9.0	1950.84	3300.0	25.66	1.0
29640.0	22.57	28.39	1.14	16.87	9.0	1810.5	3300.0	23.44	1.0
29700.0	22.72	28.57	1.13	16.87	9.0	2016.4	3300.0	23.63	1.0
29758.0	22.83	28.57	1.14	16.88	9.0	1782.74	3300.0	23.41	1.0
29822.0	22.91	28.68	1.13	17.27	9.0	1767.62	3300.0	30.95	1.0
29873.0	22.86	28.56	1.13	17.29	9.0	1656.36	3300.0	29.31	1.0
29933.0	22.87	28.6	1.13	17.61	9.0	1551.67	3300.0	34.67	1.0
29998.0	22.68	28.49	1.13	17.52	9.0	1754.18	3300.0	33.72	1.0
30053.0	22.68	28.49	1.14	17.08	9.0	1629.02	3300.0	31.34	1.0
30112.0	22.66	28.43	1.13	16.84	9.0	2023.47	3300.0	25.28	1.0
30167.0	22.57	28.44	1.14	16.64	9.0	1815.32	3300.0	25.19	1.0
30226.0	22.69	28.49	1.14	16.48	9.0	2073.83	3300.0	22.76	1.0
30280.0	22.77	28.57	1.13	16.36	9.0	1851.39	3300.0	21.37	1.0
30339.0	22.78	28.55	1.13	16.22	9.0	1973.16	3300.0	17.63	1.0
30390.0	22.63	28.47	1.13	16.26	9.0	1870.79	3300.0	16.69	1.0
30454.0	22.79	28.57	1.13	16.22	9.0	1616.21	3300.0	18.23	1.0
30509.0	22.15	28.33	1.13	16.47	9.0	1953.38	3300.0	22.54	1.0
30560.0	22.37	28.52	1.13	16.69	9.0	1878.29	3300.0	20.95	1.0
30618.0	22.55	28.45	1.13	16.57	9.0	1650.89	3300.0	21.94	1.0
30678.0	22.52	28.41	1.13	16.48	9.0	1868.93	3300.0	21.31	1.0
30734.0	22.78	28.56	1.13	16.33	9.0	1777.04	3300.0	19.85	1.0
30793.0	22.69	28.51	1.13	16.39	9.0	1738.53	3300.0	21.69	1.0
30849.0	22.66	28.57	1.13	16.43	9.0	1643.66	3300.0	19.91	1.0
30908.0	22.78	28.6	1.13	16.11	9.0	1829.94	3300.0	19.91	1.0
30962.0	22.77	28.61	1.13	15.93	9.0	1687.48	3300.0	16.41	1.0
31027.0	22.85	28.63	1.14	16.57	9.0	1947.04	3300.0	22.9	1.0
